,time,volume,open,close,high,low
156,2022-03-21 15:47:00+00:00,8,5.51,5.5,5.51,5.5
157,2022-03-21 15:48:00+00:00,217,5.5,5.5,5.5,5.5
158,2022-03-21 15:49:00+00:00,51,5.51,5.51,5.51,5.5
159,2022-03-21 15:50:00+00:00,1091,5.5,5.52,5.52,5.5
160,2022-03-21 15:51:00+00:00,24,5.52,5.52,5.52,5.52
161,2022-03-21 15:52:00+00:00,158,5.52,5.52,5.52,5.51
162,2022-03-21 15:53:00+00:00,938,5.51,5.52,5.53,5.51
163,2022-03-21 15:54:00+00:00,436,5.52,5.52,5.52,5.51
164,2022-03-21 15:55:00+00:00,3995,5.51,5.52,5.52,5.51
165,2022-03-21 15:56:00+00:00,110,5.52,5.52,5.52,5.52
166,2022-03-21 15:57:00+00:00,336,5.53,5.53,5.53,5.52
167,2022-03-21 15:58:00+00:00,1489,5.52,5.53,5.54,5.52
168,2022-03-21 15:59:00+00:00,861,5.53,5.53,5.54,5.53
169,2022-03-21 16:00:00+00:00,3818,5.54,5.54,5.5600000000000005,5.54
170,2022-03-21 16:01:00+00:00,1449,5.54,5.53,5.55,5.53
171,2022-03-21 16:02:00+00:00,1089,5.53,5.52,5.53,5.52
172,2022-03-21 16:03:00+00:00,8,5.51,5.51,5.51,5.51
173,2022-03-21 16:04:00+00:00,1384,5.51,5.52,5.52,5.51
174,2022-03-21 16:05:00+00:00,283,5.51,5.51,5.52,5.51
175,2022-03-21 16:06:00+00:00,3906,5.51,5.5,5.52,5.5
176,2022-03-21 16:07:00+00:00,448,5.49,5.5,5.5,5.49
177,2022-03-21 16:08:00+00:00,3091,5.5,5.5,5.51,5.49
178,2022-03-21 16:09:00+00:00,450,5.5,5.5,5.5,5.5
179,2022-03-21 16:10:00+00:00,13,5.51,5.5,5.51,5.5
180,2022-03-21 16:11:00+00:00,54,5.5,5.5,5.51,5.5
181,2022-03-21 16:12:00+00:00,15,5.51,5.5,5.51,5.5
182,2022-03-21 16:13:00+00:00,169,5.5,5.49,5.51,5.49
183,2022-03-21 16:14:00+00:00,9303,5.5,5.52,5.52,5.5
184,2022-03-21 16:15:00+00:00,342,5.52,5.53,5.53,5.52
185,2022-03-21 16:16:00+00:00,2333,5.53,5.54,5.54,5.52
